#cfo preamble_symbols=7 cfo_int=0 cfo_frac=1.09543e-08 sfo_slope=0
#index best_bin second_bin corrected_bin best_mag second_mag delta
357 512 511 512 223020 219490 -0.482094
358 511 768 511 213138 212754 0.495159
359 0 1023 0 213134 211458 -0.491261
360 703 1023 703 212742 212739 0.494291
361 607 608 607 213515 211396 0.489051
362 528 527 528 218418 206678 -0.44295
363 528 527 528 192797 192794 -0.499982
364 926 814 926 5.37769e-07 5.29244e-07 0
365 304 506 304 6.67589e-07 5.78718e-07 0.0336778
366 857 727 857 7.38645e-07 6.94191e-07 -0.0701171
367 357 118 357 6.41483e-07 6.19723e-07 0
368 291 240 291 1.14356e-06 6.82778e-07 -0.0359179
369 853 553 853 7.18707e-07 6.41352e-07 0.0107432
370 817 433 817 6.95942e-07 6.062e-07 0.00382998
371 427 744 427 9.72524e-07 6.53198e-07 -0.0616147
372 641 597 641 8.99329e-07 6.97908e-07 -0.131986
373 67 395 67 1.05054e-06 8.90831e-07 0.0356585
374 518 1010 518 8.79193e-07 7.08714e-07 -0.0102516
375 508 880 508 5.76148e-07 5.0568e-07 0
376 766 40 766 7.43201e-07 6.65554e-07 -0.0263438
377 818 820 818 6.24998e-07 5.49842e-07 -0.0262166
378 771 465 771 6.62248e-07 5.60574e-07 0.0231799
379 71 1017 71 6.18139e-07 5.57762e-07 -0.0493585
380 83 636 83 8.79385e-07 7.15498e-07 -0.00549065
381 795 592 795 7.60656e-07 6.71917e-07 0.0206889
382 116 593 116 7.05772e-07 6.298e-07 -0.0591196
383 511 512 511 211836 211833 0.499984
384 512 511 512 424973 424972 -0.499998
385 511 512 512 424973 424972 0.499999
386 512 511 512 424973 424972 -0.499997
387 512 511 512 424973 424972 -0.499999
388 512 511 512 424972 424972 -0.5
389 512 512 512 424972 424972 -0.5
390 512 511 512 424972 424972 -0.5
391 512 519 512 213415 213415 -0.499048
392 527 528 527 226316 220753 0.473578
393 527 528 527 208594 202860 0.469373
394 480 543 480 1683.91 1683.87 -0.0408995
395 912 913 912 71225.9 57097.6 0.236281
396 912 913 912 270106 268912 0.495304
397 631 634 631 174642 174196 0.433881
398 288 289 288 334674 332578 0.493762
399 845 844 845 224695 223687 -0.49393
400 752 753 752 181495 181372 0.497508
401 509 508 509 188605 187433 -0.483689
402 308 309 308 316512 315169 0.495767
403 509 508 509 191287 187764 -0.454809
404 422 423 422 233115 232193 0.494973
405 736 737 736 176738 176295 0.487286
406 396 397 396 250309 246686 0.483595
407 75 76 75 363142 363116 0.499927
408 875 874 875 244683 241084 -0.482841
409 989 990 989 332669 332288 0.498855
410 251 252 251 363523 363207 0.499115
411 643 640 643 174279 173750 -0.438082
412 144 145 145 363172 363171 0.499998
413 673 676 673 171069 169449 0.457557
414 470 471 470 205983 204793 0.489997
415 926 927 926 281859 278104 0.486348
416 56 57 56 363965 363316 0.498184
417 984 985 984 328243 327161 0.49671
418 785 784 785 195615 191568 -0.457513
419 745 744 745 178949 178940 -0.499782
420 260 259 260 424977 424967 -0.499972
421 260 259 260 360251 359787 -0.49868
422 255 256 255 363656 362087 0.495619
423 511 512 511 187475 186433 0.484726
424 767 768 767 187196 186630 0.491514
425 448 447 448 217697 215897 -0.487994
426 352 351 352 281603 280168 -0.494734
427 272 271 272 348649 348642 -0.499982
428 594 857 594 7.41626e-07 7.20534e-07 0.00671959
429 136 728 136 6.1801e-07 6.13374e-07 -0.0859628
430 342 585 342 6.59712e-07 6.54604e-07 0.0101133
431 220 324 220 5.91492e-07 5.91479e-07 0.0288003
432 356 662 356 5.27812e-07 5.14939e-07 0
433 987 490 987 7.18026e-07 7.00266e-07 0.0217372
434 430 748 430 7.99699e-07 7.85249e-07 -0.0171835
435 530 790 530 7.39958e-07 7.23126e-07 -0.0428498
436 988 866 988 7.32457e-07 6.82432e-07 0.056609
437 298 360 298 8.3273e-07 6.92231e-07 0.00138591
438 293 639 293 5.58417e-07 5.53443e-07 0
439 572 968 572 8.03943e-07 7.16264e-07 0.0238935
440 786 665 786 7.17655e-07 6.66806e-07 -0.000243067
441 519 691 519 7.24357e-07 6.90923e-07 0.0477585
442 730 940 730 6.31188e-07 6.02054e-07 0
443 775 144 775 6.64308e-07 5.7719e-07 0.00791527
444 712 895 712 6.50149e-07 6.12383e-07 0.0336072
445 506 924 506 7.92997e-07 7.60473e-07 -0.0413859
446 983 26 983 7.22565e-07 6.42634e-07 0.0225242
447 255 256 255 61775.6 61775.3 0.499985
448 256 255 256 424978 424967 -0.499973
449 256 255 256 424977 424967 -0.499973
450 256 255 256 424978 424967 -0.49997
451 256 255 256 424977 424967 -0.499972
452 256 255 256 424977 424967 -0.499972
453 256 255 256 424977 424968 -0.499974
454 256 255 256 424978 424967 -0.499972
455 256 255 256 362988 362976 -0.499964
456 263 264 263 356069 355163 0.497417
457 271 272 271 357532 342170 0.458387
458 224 287 224 1683.88 1683.87 -0.0408953
459 224 287 224 1683.89 1683.88 -0.0408895
460 656 657 656 425096 424713 0.498988
461 377 376 377 424961 424158 -0.497878
462 33 32 33 426039 423775 -0.494053
463 589 588 589 423832 423239 -0.498429
464 497 496 497 424938 424905 -0.499913
465 253 252 253 425372 424086 -0.496614
466 53 52 53 425677 424191 -0.496086
467 252 253 252 425334 424278 0.497218
468 167 166 167 425250 424651 -0.498418
469 480 481 480 424516 424316 0.49947
470 141 140 141 425727 423678 -0.494616
471 844 843 844 424830 422992 -0.495165
472 618 619 618 424960 424420 0.498573
473 734 733 734 425188 424631 -0.498529
474 1020 1019 1020 425969 423964 -0.494731
475 386 385 386 423785 422868 -0.497571
476 913 912 913 425740 423294 -0.493583
477 419 418 419 424164 423421 -0.498036
478 215 214 215 425433 424209 -0.496777
479 671 670 671 424615 423421 -0.496849
480 825 824 825 425371 424410 -0.497464
481 728 729 728 425165 424691 0.498748
482 528 529 528 424771 424699 0.499809
483 489 488 489 424977 424948 -0.499921
484 4 3 4 426261 423662 -0.493183
485 3 4 3 424973 424972 0.499998
486 0 1023 0 424988 424956 -0.499915
487 256 255 256 424058 422750 -0.496549
488 512 511 512 424593 424589 -0.499989
489 192 191 192 425558 423747 -0.495239
490 96 95 96 425324 424587 -0.498054
491 16 15 16 425288 424653 -0.498322
492 365 348 365 1.00141 1.00133 0.290067
493 198 152 198 7.04937e-07 6.47739e-07 0
494 237 756 237 7.45358e-07 6.96175e-07 0.088599
495 747 728 747 8.20609e-07 5.94172e-07 0.0203215
496 717 264 717 7.10556e-07 5.91056e-07 0.0027897
497 660 431 660 7.24808e-07 6.93294e-07 -0.0274727
498 696 267 696 8.6747e-07 7.98269e-07 -0.0240984
499 833 351 833 7.16075e-07 5.27805e-07 -0.0140444
500 578 652 578 6.63057e-07 5.51008e-07 -0.0469379
501 613 394 613 6.28704e-07 5.60579e-07 0.0246339
502 218 717 218 7.99507e-07 7.59248e-07 0.125322
503 719 399 719 9.00038e-07 7.07459e-07 -0.0221028
504 724 417 724 6.83134e-07 5.94831e-07 -0.0891778
505 432 523 432 1.07769e-06 1.06242e-06 0.00146628
506 290 197 290 6.79994e-07 5.8262e-07 0.0174507
507 214 559 214 6.82099e-07 6.32079e-07 0.09185
508 539 551 539 6.9694e-07 5.68485e-07 0
509 439 218 439 6.54804e-07 6.17456e-07 -0.0113218
510 452 1005 452 5.71492e-07 5.4168e-07 0.000567844
511 476 590 476 1.07994e-06 1.00766e-06 0.00418918
512 0 1023 1023 424971 424971 -0.5
513 1023 0 0 424972 424972 0.5
514 0 1023 0 424972 424972 -0.499999
515 1023 0 0 424972 424972 0.499999
516 1023 0 0 424972 424972 0.499999
517 1023 0 0 424972 424972 0.499999
518 0 1023 0 424972 424972 -0.499999
519 1023 0 0 424972 424972 0.5
520 8 7 8 424949 424883 -0.499826
521 15 16 15 425003 424942 0.499839
522 992 31 992 1687.75 1679.96 -0.040933
523 992 31 992 1683.94 1683.88 -0.0408822
524 402 399 402 176096 173219 -0.415307
525 121 120 121 262777 261628 -0.495254
526 801 800 801 363013 361084 -0.494616
527 331 334 331 166066 165466 0.491281
528 240 241 240 193451 192013 0.483449
529 1021 1020 1021 362690 361187 -0.495796
530 821 820 821 365216 359312 -0.483788
531 1020 1021 1020 365558 360539 0.486187
532 935 934 935 360344 359925 -0.498821
533 224 225 224 200556 200256 0.497124
534 909 908 909 363000 361086 -0.494659
535 588 587 588 221941 221932 -0.499943
536 361 364 361 173394 173310 0.437218
537 478 477 478 174489 172763 -0.446882
538 764 763 764 358872 357693 -0.496674
539 129 130 129 255811 255749 0.499728
540 657 656 657 269711 268606 -0.495647
541 162 163 162 233912 233528 0.497939
542 983 982 983 362549 361256 -0.49638
543 413 416 413 173145 171685 0.435229
544 569 568 569 212622 210160 -0.482222
545 472 473 472 174964 172953 0.436907
546 272 273 272 180621 180446 0.496376
547 232 233 232 198197 194226 0.461188
548 772 771 772 363151 361858 -0.496383
549 771 772 772 424978 424967 0.499971
550 768 767 768 368635 366358 -0.493447
551 0 1023 0 363385 361819 -0.495625
552 256 255 256 186826 185027 -0.473999
553 960 959 960 362941 361100 -0.494858
554 863 864 863 363279 362154 0.496851
555 784 783 784 372081 353597 -0.451702
556 784 783 784 48780.4 48780 -0.499967
557 156 407 156 6.12717e-07 5.97871e-07 0.020775
558 87 803 87 7.45474e-07 7.36649e-07 -0.0157597
559 294 495 294 5.856e-07 5.70587e-07 -0.0126786
560 615 587 615 7.31346e-07 6.0867e-07 -0.011408
561 617 5 617 6.76991e-07 6.56828e-07 0.00169413
562 21 71 21 7.70999e-07 6.53663e-07 0
563 861 22 861 6.31918e-07 5.68423e-07 0
564 205 942 205 6.4579e-07 5.99125e-07 0.0143803
565 457 630 457 9.41376e-07 6.3998e-07 -0.00815682
566 483 476 483 8.1504e-07 7.19508e-07 0.171364
567 288 311 288 8.26782e-07 7.82268e-07 -0.0263272
568 328 5 328 6.86604e-07 6.23501e-07 -0.0164029
569 396 833 396 7.86792e-07 6.71763e-07 -0.0317474
570 83 904 83 8.06455e-07 7.93654e-07 -0.0939788
571 720 265 720 6.0534e-07 5.95033e-07 0.00475905
572 581 915 581 1.03082e-06 6.82356e-07 -0.0198258
573 370 840 370 9.24249e-07 6.79999e-07 -0.0214453
574 113 84 113 7.87958e-07 6.90816e-07 -0.0329429
575 886 680 886 7.52208e-07 7.01174e-07 0.013939
576 767 768 768 362278 362271 0.499981
577 767 768 768 424978 424967 0.499971
578 767 768 768 424978 424967 0.499972
579 767 768 768 424978 424967 0.499971
580 767 768 768 424977 424967 0.499972
581 767 768 768 424977 424967 0.499973
582 767 768 768 424977 424967 0.499973
583 767 768 768 424978 424967 0.499971
584 775 776 775 362988 362976 0.499965
585 783 784 783 374135 366274 0.47874
586 784 783 784 56342.2 52201.6 -0.379568
587 736 799 736 1683.94 1683.81 -0.0408936
588 146 143 146 104162 90147.7 -0.153991
589 144 145 144 214060 213071 0.494838
590 545 544 545 213237 211694 -0.491938
591 545 544 545 172915 172581 -0.497501
592 76 77 76 213960 213584 0.498032
593 765 764 765 213313 210502 -0.485352
594 565 564 565 214515 210258 -0.478209
595 764 765 764 214662 211592 0.484187
596 679 678 679 214815 210246 -0.476566
597 993 992 993 212518 212486 -0.499836
598 653 652 653 213229 212407 -0.495685
